"Variavel","Coeficiente","Odds_Ratio","p_valor","Significativo"
"(Intercept)",0.804,2.2346,0,"sim"
"Age",0.3166,1.3725,0.0016,"sim"
"Gender",-0.2142,0.8072,0.0338,"sim"
"Total_Bilirubin",0.0907,1.0949,0.8825,"nao"
"Direct_Bilirubin",0.5926,1.8086,0.3346,"nao"
"Alkaline_Phosphotase",0.425,1.5295,0.0043,"sim"
"Alamine_Aminotransferase",0.6631,1.9409,0.0034,"sim"
"Aspartate_Aminotransferase",0.1439,1.1548,0.5044,"nao"
"Total_Proteins",1.9394,6.9543,2e-04,"sim"
"Albumin",-2.7167,0.0661,3e-04,"sim"
"AG_Ratio",1.2661,3.547,0.0033,"sim"
