"Variavel","Imp_SHAP_xgb","Rank_SHAP_xgb","Imp_SHAP_rf","Rank_SHAP_rf","Imp_nativa_rf","Rank_nativa_rf","Imp_nativa_lgb","Rank_nativa_lgb","Coef_abs_lr","Rank_lr"
"Total_Bilirubin",0.5151,1,0.0454,3,53.87,5,79.41,3,0.2782,9
"Alkaline_Phosphotase",0.3616,2,0.0589,1,100,1,93.28,2,0.4282,5
"Total_Proteins",0.117,3,0.0162,9,0,10,0,9,2.0592,2
"Aspartate_Aminotransferase",0.1112,4,0.0414,4,67.34,2,71.02,4,0.2796,8
"Age",0.1078,5,0.0241,7,42.54,6,37.05,5,0.3174,7
"AG_Ratio",0.08,6,0.0247,6,29.86,7,13.96,7,1.3368,3
"Alamine_Aminotransferase",0.076,7,0.037,5,59.09,4,31.75,6,0.5825,4
"Gender",0,8,0.0092,10,3.75,9,0,10,0.2105,10
"Direct_Bilirubin",0,9,0.0555,2,63.75,3,100,1,0.3769,6
"Albumin",0,10,0.0187,8,21.29,8,6.74,8,2.8495,1
