"Variavel","Correlacao","Interpretacao"
"Total_Proteins",0.644,"valores altos -> maior risco de doenca"
"Age",0.638,"valores altos -> maior risco de doenca"
"Direct_Bilirubin",0.618,"valores altos -> maior risco de doenca"
"Alamine_Aminotransferase",0.598,"valores altos -> maior risco de doenca"
"Alkaline_Phosphotase",0.589,"valores altos -> maior risco de doenca"
"Gender",-0.555,"valores altos -> menor risco de doenca"
"Aspartate_Aminotransferase",0.535,"valores altos -> maior risco de doenca"
"Albumin",-0.514,"valores altos -> menor risco de doenca"
"Total_Bilirubin",0.305,"valores altos -> maior risco de doenca"
"AG_Ratio",0.185,"efeito nao monotonico / fraco"
