"Variavel","Correlacao","Interpretacao"
"Age",0.867,"valores altos -> maior risco de doenca"
"Total_Bilirubin",0.845,"valores altos -> maior risco de doenca"
"Direct_Bilirubin",0.83,"valores altos -> maior risco de doenca"
"Aspartate_Aminotransferase",0.825,"valores altos -> maior risco de doenca"
"Alamine_Aminotransferase",0.819,"valores altos -> maior risco de doenca"
"Alkaline_Phosphotase",0.766,"valores altos -> maior risco de doenca"
"Albumin",-0.708,"valores altos -> menor risco de doenca"
"AG_Ratio",-0.582,"valores altos -> menor risco de doenca"
"Total_Proteins",0.399,"valores altos -> maior risco de doenca"
"Gender",-0.174,"efeito nao monotonico / fraco"
