"Variavel","Correlacao","Interpretacao"
"Age",0.86,"valores altos -> maior risco de doenca"
"Alkaline_Phosphotase",0.81,"valores altos -> maior risco de doenca"
"Total_Bilirubin",0.807,"valores altos -> maior risco de doenca"
"Aspartate_Aminotransferase",0.717,"valores altos -> maior risco de doenca"
"AG_Ratio",-0.669,"valores altos -> menor risco de doenca"
"Alamine_Aminotransferase",0.531,"valores altos -> maior risco de doenca"
"Total_Proteins",0.36,"valores altos -> maior risco de doenca"
"Gender",NA,"sem variacao"
"Direct_Bilirubin",NA,"sem variacao"
"Albumin",NA,"sem variacao"
