"Sexo","Variavel","Importancia_SHAP","SHAP_Medio"
"Feminino","Age",0.0203,0.0018
"Feminino","Gender",0.0155,0.0035
"Feminino","Total_Bilirubin",0.0415,-0.0176
"Feminino","Direct_Bilirubin",0.0513,-0.0224
"Feminino","Alkaline_Phosphotase",0.0541,-0.0119
"Feminino","Alamine_Aminotransferase",0.0335,-0.0102
"Feminino","Aspartate_Aminotransferase",0.0379,-0.0189
"Feminino","Total_Proteins",0.0173,-0.0026
"Feminino","Albumin",0.019,-0.0072
"Feminino","AG_Ratio",0.0275,-3e-04
"Masculino","Age",0.0255,-0.0014
"Masculino","Gender",0.0068,-0.0018
"Masculino","Total_Bilirubin",0.0469,0.0063
"Masculino","Direct_Bilirubin",0.0571,0.0089
"Masculino","Alkaline_Phosphotase",0.0609,0.0039
"Masculino","Alamine_Aminotransferase",0.0384,0.0041
"Masculino","Aspartate_Aminotransferase",0.0428,0.0071
"Masculino","Total_Proteins",0.0158,9e-04
"Masculino","Albumin",0.0185,0.0029
"Masculino","AG_Ratio",0.0237,-4e-04
