"Sexo","Variavel","Importancia_SHAP","SHAP_Medio"
"Feminino","Age",0.1059,-0.0137
"Feminino","Gender",0,0
"Feminino","Total_Bilirubin",0.4134,0.0139
"Feminino","Direct_Bilirubin",0,0
"Feminino","Alkaline_Phosphotase",0.3463,0.0115
"Feminino","Alamine_Aminotransferase",0.0798,0.0141
"Feminino","Aspartate_Aminotransferase",0.1021,-0.0122
"Feminino","Total_Proteins",0.118,-0.0016
"Feminino","Albumin",0,0
"Feminino","AG_Ratio",0.0805,0.015
"Masculino","Age",0.1085,-0.009
"Masculino","Gender",0,0
"Masculino","Total_Bilirubin",0.5553,0.2196
"Masculino","Direct_Bilirubin",0,0
"Masculino","Alkaline_Phosphotase",0.3676,0.0891
"Masculino","Alamine_Aminotransferase",0.0744,0.029
"Masculino","Aspartate_Aminotransferase",0.1148,0.0399
"Masculino","Total_Proteins",0.1166,-0.0123
"Masculino","Albumin",0,0
"Masculino","AG_Ratio",0.0798,0.0131
